weather_station,for_date,for_hour,rain
wardha/deoli/bhidi,2023-06-14,7,0.0
wardha/deoli/bhidi,2023-06-14,8,0.0
wardha/deoli/bhidi,2023-06-14,9,0.0
wardha/deoli/bhidi,2023-06-14,10,0.0
wardha/deoli/bhidi,2023-06-14,11,0.0
wardha/deoli/bhidi,2023-06-14,12,0.0
wardha/deoli/bhidi,2023-06-14,13,0.0
wardha/deoli/bhidi,2023-06-14,14,0.0
wardha/deoli/bhidi,2023-06-14,15,0.0
wardha/deoli/bhidi,2023-06-14,16,0.0
wardha/deoli/bhidi,2023-06-14,17,0.0
wardha/deoli/bhidi,2023-06-14,18,0.0
wardha/deoli/bhidi,2023-06-14,19,0.0
wardha/deoli/bhidi,2023-06-14,20,0.0
wardha/deoli/bhidi,2023-06-14,21,0.0
wardha/deoli/bhidi,2023-06-14,22,0.0
wardha/deoli/bhidi,2023-06-14,23,0.0
wardha/deoli/bhidi,2023-06-15,0,0.0
wardha/deoli/bhidi,2023-06-15,1,0.0
wardha/deoli/bhidi,2023-06-15,2,0.0
wardha/deoli/bhidi,2023-06-15,3,0.0
wardha/deoli/bhidi,2023-06-15,4,0.0
wardha/deoli/bhidi,2023-06-15,5,0.0
wardha/deoli/bhidi,2023-06-15,6,0.0
wardha/deoli/bhidi,2023-06-15,7,0.0
wardha/deoli/bhidi,2023-06-15,8,0.0
wardha/deoli/bhidi,2023-06-15,9,0.0
wardha/deoli/bhidi,2023-06-15,10,0.0
wardha/deoli/bhidi,2023-06-15,11,0.0
wardha/deoli/bhidi,2023-06-15,12,0.5
wardha/deoli/bhidi,2023-06-15,13,0.0
wardha/deoli/bhidi,2023-06-15,14,0.0
wardha/deoli/bhidi,2023-06-15,15,0.0
wardha/deoli/bhidi,2023-06-15,16,0.0
wardha/deoli/bhidi,2023-06-15,17,0.0
wardha/deoli/bhidi,2023-06-15,18,0.0
wardha/deoli/bhidi,2023-06-15,19,0.0
wardha/deoli/bhidi,2023-06-15,20,0.0
wardha/deoli/bhidi,2023-06-15,21,0.0
wardha/deoli/bhidi,2023-06-15,22,0.0
wardha/deoli/bhidi,2023-06-15,23,0.0
wardha/deoli/bhidi,2023-06-16,0,0.0
wardha/deoli/bhidi,2023-06-16,1,0.0
wardha/deoli/bhidi,2023-06-16,2,0.0
wardha/deoli/bhidi,2023-06-16,3,0.0
wardha/deoli/bhidi,2023-06-16,4,0.0
wardha/deoli/bhidi,2023-06-16,5,0.0
wardha/deoli/bhidi,2023-06-16,6,0.0
wardha/deoli/bhidi,2023-06-16,7,0.0
wardha/deoli/bhidi,2023-06-16,8,0.0
wardha/deoli/bhidi,2023-06-16,9,0.0
wardha/deoli/bhidi,2023-06-16,10,0.0
wardha/deoli/bhidi,2023-06-16,11,0.0
wardha/deoli/bhidi,2023-06-16,12,0.0
wardha/deoli/bhidi,2023-06-16,13,0.0
wardha/deoli/bhidi,2023-06-16,14,0.0
wardha/deoli/bhidi,2023-06-16,15,0.0
wardha/deoli/bhidi,2023-06-16,16,0.0
wardha/deoli/bhidi,2023-06-16,17,0.0
wardha/deoli/bhidi,2023-06-16,18,0.0
wardha/deoli/bhidi,2023-06-16,19,0.0
wardha/deoli/bhidi,2023-06-16,20,0.0
wardha/deoli/bhidi,2023-06-16,21,0.0
wardha/deoli/bhidi,2023-06-16,22,0.0
wardha/deoli/bhidi,2023-06-16,23,0.0
wardha/deoli/bhidi,2023-06-17,0,0.0
wardha/deoli/bhidi,2023-06-17,1,0.0
wardha/deoli/bhidi,2023-06-17,2,0.0
wardha/deoli/bhidi,2023-06-17,3,0.0
wardha/deoli/bhidi,2023-06-17,4,0.0
wardha/deoli/bhidi,2023-06-17,5,0.0
wardha/deoli/bhidi,2023-06-17,6,0.0
wardha/deoli/bhidi,2023-06-17,7,0.0
wardha/deoli/bhidi,2023-06-17,8,0.0
wardha/deoli/bhidi,2023-06-17,9,0.0
wardha/deoli/bhidi,2023-06-17,10,0.0
wardha/deoli/bhidi,2023-06-17,11,0.0
wardha/deoli/bhidi,2023-06-17,12,0.0
wardha/deoli/bhidi,2023-06-17,13,0.0
wardha/deoli/bhidi,2023-06-17,14,0.0
wardha/deoli/bhidi,2023-06-17,15,0.0
wardha/deoli/bhidi,2023-06-17,16,0.0
wardha/deoli/bhidi,2023-06-17,17,0.0
wardha/deoli/bhidi,2023-06-17,18,0.0
wardha/deoli/bhidi,2023-06-17,19,0.0
wardha/deoli/bhidi,2023-06-17,20,0.0
wardha/deoli/bhidi,2023-06-17,21,0.0
wardha/deoli/bhidi,2023-06-17,22,0.0
wardha/deoli/bhidi,2023-06-17,23,0.0
wardha/deoli/bhidi,2023-06-18,0,0.0
wardha/deoli/bhidi,2023-06-18,1,0.0
wardha/deoli/bhidi,2023-06-18,2,0.0
wardha/deoli/bhidi,2023-06-18,3,0.0
wardha/deoli/bhidi,2023-06-18,4,0.0
wardha/deoli/bhidi,2023-06-18,5,0.0
wardha/deoli/bhidi,2023-06-18,6,0.0
wardha/deoli/bhidi,2023-06-18,7,0.0
wardha/deoli/bhidi,2023-06-18,8,0.0
wardha/deoli/bhidi,2023-06-18,9,0.0
wardha/deoli/bhidi,2023-06-18,10,0.0
wardha/deoli/bhidi,2023-06-18,11,0.0
wardha/deoli/bhidi,2023-06-18,12,0.0
wardha/deoli/bhidi,2023-06-18,13,0.25
wardha/deoli/bhidi,2023-06-18,14,0.0
wardha/deoli/bhidi,2023-06-18,15,0.0
wardha/deoli/bhidi,2023-06-18,16,0.0
wardha/deoli/bhidi,2023-06-18,17,0.0
wardha/deoli/bhidi,2023-06-18,18,0.0
wardha/deoli/bhidi,2023-06-18,19,0.0
wardha/deoli/bhidi,2023-06-18,20,0.0
wardha/deoli/bhidi,2023-06-18,21,0.0
wardha/deoli/bhidi,2023-06-18,22,0.0
wardha/deoli/bhidi,2023-06-18,23,0.0
wardha/deoli/bhidi,2023-06-19,0,0.0
wardha/deoli/bhidi,2023-06-19,1,0.0
wardha/deoli/bhidi,2023-06-19,2,0.0
wardha/deoli/bhidi,2023-06-19,3,0.0
wardha/deoli/bhidi,2023-06-19,4,0.0
wardha/deoli/bhidi,2023-06-19,5,0.0
